,word,freq
2773,阿尔,88
3928,抓住,88
4062,命题,88
4720,富有,88
5184,一家人,88
5921,暗示,88
6517,考验,88
6669,无可挑剔,88
7928,交代,88
679,未必,87
1097,担心,87
1534,重逢,87
1566,赫敏,87
1908,乡村,87
2065,短评,87
2538,喜歡,87
2854,马特,87
3958,故事情节,87
4520,无趣,87
4688,赋予,87
5082,几天,87
5400,位置,87
5479,了不起,87
5505,丧尸,87
6328,幼稚,87
7696,迷茫,87
8011,帅气,87
9370,说实话,87
10288,揭露,87
10301,提名,87
805,旅行,86
1021,哈哈哈哈,86
1091,丰满,86
1206,妥协,86
1313,中年,86
1322,相处,86
1814,阶层,86
2025,子弹,86
2139,性感,86
2861,文本,86
2990,其他人,86
3177,折磨,86
3336,诡异,86
4075,上海,86
4284,大白,86
5364,翻译,86
5425,大爱,86
6098,林青霞,86
6194,伦理,86
7306,危险,86
7848,就让,86
8527,深情,86
10154,配合,86
184,缺失,85
293,加长版,85
328,眼前,85
931,懦弱,85
1008,不愿,85
1582,扮演,85
1584,停留,85
1628,提醒,85
2752,精妙,85
3001,真人,85
3838,伏笔,85
4074,敏感,85
4645,美女,85
4664,混蛋,85
5117,忽略,85
5470,徐克,85
5731,组合,85
6003,悲凉,85
6464,惊悚片,85
7505,谢谢,85
7537,烧脑,85
9667,事儿,85
10472,东方,85
10767,诸多,85
11335,疯子,85
13131,传达,85
307,信任,84
1072,乌托邦,84
1548,第二次,84
1571,一大,84
1670,立意,84
1771,多人,84
1966,群体,84
2096,武侠,84
2273,用力,84
2515,革命,84
2642,世俗,84
4351,冲动,84
5864,费雯丽,84
8634,放大,84
8788,奋斗,84
10223,融入,84
10336,善意,84
11365,掌控,84
13503,嫉妒,84
14535,大自然,84
14829,好玩,84
67,中心,83
185,致命,83
251,沦为,83
971,太太,83
1267,一出,83
1310,合适,83
1462,淡淡的,83
1504,精湛,83
3319,青涩,83
3387,勉强,83
3877,战胜,83
3919,缺陷,83
3925,逝去,83
4633,太帅,83
6414,久石,83
7530,切换,83
9214,一声,83
206,二十年,82
331,笑容,82
1186,庆幸,82
1359,符号,82
2279,环保,82
2380,审美,82
2715,隐忍,82
3020,贯穿,82
3036,北京,82
3284,一堆,82
3432,冷酷,82
3470,彩色,82
4337,道路,82
4445,去年,82
4638,這個,82
5032,照片,82
5399,人群,82
5781,标签,82
5812,穿插,82
6816,边缘,82
7070,探索,82
7307,微妙,82
7358,松子,82
7484,尽头,82
9334,蒙太奇,82
17595,强行,82
967,阿米尔,81
1201,土地,81
1221,正太,81
1774,提供,81
2177,或者说,81
2280,科技,81
2339,饰演,81
2492,吃饭,81
2573,柔软,81
3535,无尽,81
3666,食物,81
4471,释放,81
4725,楚门,81
6148,一套,81
6841,一塌糊涂,81
7630,一眼,81
9929,渺小,81
10043,着实,81
69,照顾,80
471,发现自己,80
1187,摆脱,80
1484,荧幕,80
1944,不像,80
2097,鼓励,80
2135,借鉴,80
2265,贡献,80
2572,那份,80
3273,昨天,80
3798,交织,80
3880,兴趣,80
4012,幸好,80
5557,放映,80
6063,不住,80
9464,标记,80
10331,诗意,80
11270,人能,80
414,海豚,79
1163,美式,79
1502,接触,79
1976,渐渐,79
1990,立场,79
3040,没看,79
3342,层层,79
3745,手持,79
4069,复制,79
4423,挖掘,79
4537,所说,79
4607,记者,79
4690,善恶,79
4925,寓言,79
5048,這部,79
5177,激烈,79
5598,虚伪,79
7498,极具,79
8628,细致,79
11568,讲得,79
19218,守护,79
22751,可笑,79
975,布景,78
1598,香港电影,78
1614,差距,78
1651,保留,78
1821,直白,78
1857,安静,78
1963,生物,78
2949,这类,78
3067,狗狗,78
3204,卡梅隆,78
3357,這樣,78
3797,枪战,78
3811,姐妹,78
4356,虚假,78
4867,翻拍,78
4871,留在,78
4886,紫霞,78
4951,哈尔,78
5610,演戏,78
7829,无人,78
8132,原作,78
9299,战场,78
9646,没能,78
13110,不及,78
16548,分裂,78
144,战争场面,77
362,难看,77
627,外表,77
1468,至极,77
2053,不禁,77
2570,纯洁,77
2737,给出,77
4228,王子,77
4898,看不下去,77
6167,追寻,77
7548,耐心,77
9487,收获,77
9580,探戈,77
9606,鬼子,77
13974,分数,77
13988,最佳影片,77
10,默片,76
132,这一,76
545,心态,76
782,父子,76
1447,奉俊昊,76
1727,尸体,76
1835,大于,76
3094,以往,76
3684,垃圾,76
4294,世人,76
4614,包含,76
4775,狐狸,76
5437,有点像,76
5585,有限,76
5624,沉浸,76
6746,关心,76
8020,在我看来,76
9959,黎明,76
10302,患者,76
10916,困境,76
11304,至尊宝,76
14923,怪物,76
1025,音效,75
1034,江湖,75
1631,良心,75
1892,去世,75
2310,崩溃,75
2385,擅长,75
3433,规则,75
3528,构思,75
3549,夏日,75
4277,两年,75
4695,开篇,75
4724,该片,75
5107,一人,75
5409,要说,75
5461,一如既往,75
6553,珍贵,75
6887,无知,75
7212,观念,75
7877,口味,75
9318,意志,75
9399,伤心,75
13984,无耻,75
16709,魔鬼,75
547,定义,74
613,很赞,74
1136,可贵,74
2034,旋律,74
2132,完成度,74
3676,眼光,74
3714,三年,74
3900,贫穷,74
3927,代价,74
3967,阶段,74
4220,震惊,74
4320,富人,74
5270,地区,74
6055,工业,74
6359,单薄,74
6378,层次,74
9193,瑕疵,74
13194,欺骗,74
43,联想,73
